MODE=set
REGISTRY_PATH=HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender
VALUE_NAME=ThreatFileHashLogging
STATE=1
PML_EXISTS=True
CSV_EXISTS=True
MATCH_COUNT=80
1:20:23.2952658 AM | MsMpEng.exe | RegOpenKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\ | SUCCESS | Desired Access: Query Value
1:20:23.2970634 AM | MsMpEng.exe | RegOpenKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager | SUCCESS | Desired Access: Read
1:20:23.2971035 AM | MsMpEng.exe | RegCloseKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager | SUCCESS | 
1:20:23.2971417 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\DisableLocalAdminMerge | NAME NOT FOUND | Length: 16
1:20:23.2971698 AM | MsMpEng.exe | RegOpenKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender | SUCCESS | Desired Access: Read
1:20:23.2971824 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\EnableRemoteManagedDefaults | NAME NOT FOUND | Length: 16
1:20:23.2971923 AM | MsMpEng.exe | RegCloseKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender | SUCCESS | 
1:20:23.2972990 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\DisableSpecialRunningModes | NAME NOT FOUND | Length: 16
1:20:23.2973455 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\DisableTokenRecovery | NAME NOT FOUND | Length: 12
1:20:23.2974573 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\DisableTokenRecovery | NAME NOT FOUND | Length: 16
1:20:23.2974959 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\DssCounter  | NAME NOT FOUND | Length: 16
1:20:23.2975189 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\EnableAuditMode | NAME NOT FOUND | Length: 16
1:20:23.2975404 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\EnableAuditMode | NAME NOT FOUND | Length: 16
1:20:23.2976111 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\EnableCloudAuditMode | NAME NOT FOUND | Length: 16
1:20:23.2976454 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\EnableCloudAuditMode | NAME NOT FOUND | Length: 16
1:20:23.2976685 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\EnableRemoteManagedDefaults | NAME NOT FOUND | Length: 16
1:20:23.2976893 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\EnableRemoteManagedDefaults | NAME NOT FOUND | Length: 16
1:20:23.2977573 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\EndOfLifeState | NAME NOT FOUND | Length: 16
1:20:23.2978144 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\EngineParanoidMode | NAME NOT FOUND | Length: 12
1:20:23.2978359 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\EngineParanoidMode | NAME NOT FOUND | Length: 16
1:20:23.2978583 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\EngineRing | NAME NOT FOUND | Length: 16
1:20:23.2978673 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\EngineRing | NAME NOT FOUND | Length: 16
1:20:23.2979527 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\FlightingLevel | NAME NOT FOUND | Length: 46
1:20:23.2979773 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\ForceUseProxyOnly | NAME NOT FOUND | Length: 16
1:20:23.2979946 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\ForceUseProxyOnly | NAME NOT FOUND | Length: 16
1:20:23.2980123 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\HideExclusionsFromLocalAdmins | NAME NOT FOUND | Length: 16
1:20:23.2980200 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\HideExclusionsFromLocalAdmins | NAME NOT FOUND | Length: 16
1:20:23.2980839 AM | MsMpEng.exe | RegOpenKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender | SUCCESS | Desired Access: Read
1:20:23.2980990 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\EnableRemoteManagedDefaults | NAME NOT FOUND | Length: 16
1:20:23.2981091 AM | MsMpEng.exe | RegCloseKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender | SUCCESS | 
1:20:23.2981906 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\HideExclusionsFromLocalAdmins | NAME NOT FOUND | Length: 16
1:20:23.2981995 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Policy Manager\HideExclusionsFromLocalAdmins | NAME NOT FOUND | Length: 16
1:20:23.2982251 AM | MsMpEng.exe | RegOpenKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender | SUCCESS | Desired Access: Read
1:20:23.2982380 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\EnableRemoteManagedDefaults | NAME NOT FOUND | Length: 16
1:20:23.2982466 AM | MsMpEng.exe | RegCloseKey | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender | SUCCESS | 
1:20:23.2983363 AM | MsMpEng.exe | RegQueryValue | HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\HideExclusionsFromLocalUsers | NAME NOT FOUND | Length: 16
