id,name,docs,docs_exists,docs_anchor,details_anchor,catalog_anchor,source
notifications.disable-mirroring,Disable Notification Mirroring,Docs\notifications\notifications.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L571
notifications.disable-tile,Disable Tile Notifications,Docs\notifications\notifications.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L558
notifications.disable-toast,Disable Toast Notifications,Docs\notifications\notifications.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L507
performance.disable-animations,Disable Window Animations,Docs\performance\performance.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PerformanceTweakProvider.cs#L27
performance.disable-menu-show-delay,Remove Menu Show Delay,Docs\performance\performance.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PerformanceTweakProvider.cs#L40
performance.disable-taskbar-animations,Disable Taskbar Animations,Docs\performance\performance.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PerformanceTweakProvider.cs#L53
peripheral.audio-disable-ducking,Disable Audio Ducking,Docs\peripheral\peripheral.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Peripheral\AudioTweaks.cs#L24
peripheral.audio-disable-enhancements,Disable Audio Enhancements,Docs\peripheral\peripheral.md,yes,yes,yes,yes,WindowsOptimizer.Engine\Tweaks\Peripheral\AudioTweaks.cs#L50
peripheral.autoplay-take-no-action,AutoPlay: Take No Action,Docs\peripheral\peripheral.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PeripheralTweakProvider.cs#L63
peripheral.disable-autoplay,Disable AutoPlay,Docs\peripheral\peripheral.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PeripheralTweakProvider.cs#L40
peripheral.disable-sticky-keys-prompt,Disable Sticky Keys Prompt,Docs\peripheral\peripheral.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PeripheralTweakProvider.cs#L27
