id,name,docs,docs_exists,docs_anchor,details_anchor,catalog_anchor,source
visibility.disable-spotlight-third-party,Disable Spotlight Third-Party Suggestions,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L416
visibility.disable-spotlight-welcome,Disable Windows Spotlight Welcome Experience,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L364
visibility.disable-wcn-wizards,Disable Windows Connect Now Wizards,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L276
visibility.disable-widgets,Disable Widgets (Policy),Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L313
visibility.disable-window-animations,Disable Window Animations,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L252
visibility.force-classic-control-panel,Force Classic Control Panel View,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L515
visibility.hide-language-bar,Hide Language Bar,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L300
visibility.hide-most-used-apps,Hide Most Used Apps,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L325
visibility.hide-people-bar,Hide People Bar,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L337
visibility.restore-classic-context-menu,Restore Classic Context Menu,Docs\visibility\visibility.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\VisibilityTweakProvider.cs#L502
