"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"7:13:36.6390142 PM","Procmon64.exe","2976","CreateFileMapping","C:\Windows\System32\en-US\shell32.dll.mui","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
"7:13:36.6390214 PM","Procmon64.exe","2976","QueryStandardInformationFile","C:\Windows\System32\en-US\shell32.dll.mui","SUCCESS","AllocationSize: 413,696, EndOfFile: 413,696, NumberOfLinks: 2, DeletePending: False, Directory: False"
"7:13:36.6390626 PM","Procmon64.exe","2976","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\en-US\shell32.dll.mui","SUCCESS",""
"7:13:36.6390720 PM","Procmon64.exe","2976","CreateFileMapping","C:\Windows\System32\en-US\shell32.dll.mui","SUCCESS","SyncType: SyncTypeOther"
"7:13:36.6390784 PM","Procmon64.exe","2976","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\en-US\shell32.dll.mui","SUCCESS",""
"7:13:36.6638022 PM","Procmon64.exe","2976","QueryOpen","C:\Windows\System32\shell32.dll","FAST IO DISALLOWED",""
"7:13:36.6638530 PM","Procmon64.exe","2976","CreateFile","C:\Windows\System32\shell32.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:13:36.6638841 PM","Procmon64.exe","2976","QueryBasicInformationFile","C:\Windows\System32\shell32.dll","SUCCESS","CreationTime: 9/15/2025 10:40:40 PM, LastAccessTime: 3/21/2026 3:21:24 AM, LastWriteTime: 9/15/2025 10:40:40 PM, ChangeTime: 3/21/2026 3:19:28 AM, FileAttributes: A"
"7:13:36.6638942 PM","Procmon64.exe","2976","CloseFile","C:\Windows\System32\shell32.dll","SUCCESS",""
"7:13:36.6639049 PM","Procmon64.exe","2976","IRP_MJ_CLOSE","C:\Windows\System32\shell32.dll","SUCCESS",""
"7:13:36.6640355 PM","Procmon64.exe","2976","CreateFile","C:\Windows\System32\shell32.dll","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"7:13:36.6641225 PM","Procmon64.exe","2976","QueryStandardInformationFile","C:\Windows\System32\shell32.dll","SUCCESS","AllocationSize: 7,704,576, EndOfFile: 7,703,576, NumberOfLinks: 2, DeletePending: False, Directory: False"
"7:13:36.6641354 PM","Procmon64.exe","2976","CreateFileMapping","C:\Windows\System32\shell32.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
"7:13:36.6641433 PM","Procmon64.exe","2976","QueryStandardInformationFile","C:\Windows\System32\shell32.dll","SUCCESS","AllocationSize: 7,704,576, EndOfFile: 7,703,576, NumberOfLinks: 2, DeletePending: False, Directory: False"
"7:13:36.6641497 PM","Procmon64.exe","2976","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\shell32.dll","SUCCESS",""
"7:13:36.6641570 PM","Procmon64.exe","2976","CreateFileMapping","C:\Windows\System32\shell32.dll","SUCCESS","SyncType: SyncTypeOther"
"7:13:36.6641624 PM","Procmon64.exe","2976","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\shell32.dll","SUCCESS",""
"7:13:36.6642122 PM","Procmon64.exe","2976","CloseFile","C:\Windows\System32\shell32.dll","SUCCESS",""
"7:13:36.6642298 PM","Procmon64.exe","2976","IRP_MJ_CLOSE","C:\Windows\System32\shell32.dll","SUCCESS",""
"7:13:36.6643741 PM","Procmon64.exe","2976","QueryOpen","C:\Windows\System32\WinTypes.dll","FAST IO DISALLOWED",""
"7:13:36.6644300 PM","Procmon64.exe","2976","CreateFile","C:\Windows\System32\WinTypes.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
